slug,player_name,public_report_summary,public_why_he_wins,public_primary_concerns,public_film_notes,public_role_projection,seo_description,private_owner_notes
garrett-nussmeier,Garrett Nussmeier,"Garrett Nussmeier (QB, LSU) projects as a Round 4-5 talent with his cleanest NFL path coming as a developmental live-arm creator in Movement-passer package. The current model grade sits at 78.61, with the board currently slotting him at No. 133. developmental contributor profile; wins with timing and structure while retaining off-script creation.","- Usage fit: Developmental live-arm creator within Movement-passer package.
- Film translation comes from timing/processing: ID leverage pre-snap, hold structure from the pocket, and create only when structure breaks.
- QB style lens: pocket-first rhythm passer with intermediate accuracy value; ceiling depends on downfield placement consistency.
- Model + film note: developmental contributor profile; wins with timing and structure while retaining off-script creation.","- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,"Best early team fit: LV. Expected early deployment: Developmental live-arm creator in Movement-passer package. Early value comes from rhythm passing on early downs, controlled aggression on explosives, and situational command on third down or in two-minute. Historical combine comp: Jake Waters (2015), athletic-profile match 96.5%.","Garrett Nussmeier QB scouting report, traits, role fit, concerns, and NFL Draft projection.",
rayshaun-benny,Rayshaun Benny,"Rayshaun Benny (DT, Michigan) projects as a Round 4-5 talent with his cleanest NFL path coming as a early-down anchor with interior rush upside in One-gap attack interior rotation. The current model grade sits at 78.64, with the board currently slotting him at No. 134. developmental contributor profile; controls interior gaps and collapses pocket.","- Usage fit: Early-down anchor with interior rush upside within One-gap attack interior rotation.
- Film translation comes from disruption and block control: strike timing, gap integrity, and pocket compression on long downs.
- Model + film note: developmental contributor profile; controls interior gaps and collapses pocket.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,"Best early team fit: BUF. Expected early deployment: Early-down anchor with interior rush upside in One-gap attack interior rotation. Early value comes from early-down run control plus enough third-down pocket push to keep fronts multiple. Historical combine comp: Jay Bromley (2014), athletic-profile match 96.44%.","Rayshaun Benny DT scouting report, traits, role fit, concerns, and NFL Draft projection.",
charles-demmings,Charles Demmings,"Charles Demmings (CB, Stephen F. Austin) projects as a Round 4-5 talent with his cleanest NFL path coming as a outside starter with matchup flexibility in Press-match / quarters hybrid. The current model grade sits at 78.17, with the board currently slotting him at No. 135. developmental contributor profile; matches routes with disciplined leverage.","- Usage fit: Outside starter with matchup flexibility within Press-match / quarters hybrid.
- Film translation comes from coverage mechanics: maintain leverage, transition cleanly, and finish at the catch point without panic.
- Model + film note: developmental contributor profile; matches routes with disciplined leverage.
- Scout-logged strength indicators: >.","- Scouting concern to verify: >.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,"Best early team fit: JAX. Expected early deployment: Outside starter with matchup flexibility in Press-match / quarters hybrid. Early value comes from leverage consistency across man and zone, plus reliable tackle finish when the offense tests him in run support. Historical combine comp: Chris Greenwood (2012), athletic-profile match 96.53%.","Charles Demmings CB scouting report, traits, role fit, concerns, and NFL Draft projection.",
will-lee-iii,Will Lee III,"Will Lee III (CB, Texas A&M Aggies) projects as a Round 4-5 talent with his cleanest NFL path coming as a outside starter with matchup flexibility in Press-match / quarters hybrid. The current model grade sits at 78.39, with the board currently slotting him at No. 136. developmental contributor profile; matches routes with disciplined leverage.","- Usage fit: Outside starter with matchup flexibility within Press-match / quarters hybrid.
- Film translation comes from coverage mechanics: maintain leverage, transition cleanly, and finish at the catch point without panic.
- Model + film note: developmental contributor profile; matches routes with disciplined leverage.","- PFF grade 66.5 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,"Best early team fit: JAX. Expected early deployment: Outside starter with matchup flexibility in Press-match / quarters hybrid. Early value comes from leverage consistency across man and zone, plus reliable tackle finish when the offense tests him in run support. Historical combine comp: DeAndre Jones (2015), athletic-profile match 96.29%.","Will Lee III CB scouting report, traits, role fit, concerns, and NFL Draft projection.",
seth-mcgowan,Seth McGowan,"Seth McGowan (RB, Kentucky Wildcats) projects as a Round 4-5 talent with his cleanest NFL path coming as a classic two-down bruiser in Gap/power downhill run menu. The current model grade sits at 78.40, with the board currently slotting him at No. 137. developmental contributor profile; creates hidden yards and stays on schedule.","- Usage fit: Classic two-down bruiser within Gap/power downhill run menu.
- Film translation comes from vision plus contact balance: press tracks, force linebacker displacement, then accelerate through daylight.
- Model + film note: developmental contributor profile; creates hidden yards and stays on schedule.","- Lack of explosive-run creation (10.2% explosive rate) narrows home-run ceiling.
- PFF grade 70.1 suggests current performance volatility that needs film-confirmed cleanup.",,"Best early team fit: DAL. Expected early deployment: Classic two-down bruiser in Gap/power downhill run menu. Early value comes from box-count recognition, efficient run tracks, and enough receiving utility to stay on the field in sub packages. Historical combine comp: Devontae Booker (2016), athletic-profile match 93.69%.","Seth McGowan RB scouting report, traits, role fit, concerns, and NFL Draft projection.",
thaddeus-dixon,Thaddeus Dixon,"Thaddeus Dixon (CB, North Carolina Tar Heels) projects as a Round 4-5 talent with his cleanest NFL path coming as a outside starter with matchup flexibility in Press-match / quarters hybrid. The current model grade sits at 78.17, with the board currently slotting him at No. 138. developmental contributor profile; matches routes with disciplined leverage.","- Usage fit: Outside starter with matchup flexibility within Press-match / quarters hybrid.
- Film translation comes from coverage mechanics: maintain leverage, transition cleanly, and finish at the catch point without panic.
- Model + film note: developmental contributor profile; matches routes with disciplined leverage.","- PFF grade 65.2 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,"Best early team fit: JAX. Expected early deployment: Outside starter with matchup flexibility in Press-match / quarters hybrid. Early value comes from leverage consistency across man and zone, plus reliable tackle finish when the offense tests him in run support. Historical combine comp: Lionel Smith (2012), athletic-profile match 94.32%.","Thaddeus Dixon CB scouting report, traits, role fit, concerns, and NFL Draft projection.",
carson-beck,Carson Beck,"Carson Beck (QB, Miami (FL) Hurricanes) projects as a Round 4-5 talent with his cleanest NFL path coming as a starter-caliber distributor profile in Timing-spread distributor framework. The current model grade sits at 78.04, with the board currently slotting him at No. 139. developmental contributor profile; wins with timing and structure while retaining off-script creation.","- Usage fit: Starter-caliber distributor profile within Timing-spread distributor framework.
- Film translation comes from timing/processing: ID leverage pre-snap, hold structure from the pocket, and create only when structure breaks.
- QB style lens: pocket-first rhythm passer with intermediate accuracy value; ceiling depends on downfield placement consistency.
- Model + film note: developmental contributor profile; wins with timing and structure while retaining off-script creation.","- Turnover risk needs cleanup (12 INT) before high-leverage starter projection is stable.
- PFF grade 73.6 suggests current performance volatility that needs film-confirmed cleanup.",,"Best early team fit: LV. Expected early deployment: Starter-caliber distributor profile in Timing-spread distributor framework. Early value comes from rhythm passing on early downs, controlled aggression on explosives, and situational command on third down or in two-minute. Historical combine comp: TJ Linta (2019), athletic-profile match 94.02%.","Carson Beck QB scouting report, traits, role fit, concerns, and NFL Draft projection.",
lt-overton,LT Overton,"LT Overton (EDGE, Alabama) projects as a Round 4-5 talent with his cleanest NFL path coming as a rotational rush specialist in Sub-package designated rush lane. The current model grade sits at 78.29, with the board currently slotting him at No. 140. developmental contributor profile; produces pressure through get-off and counters.","- Usage fit: Rotational rush specialist within Sub-package designated rush lane.
- Film translation comes from rush sequencing: first-step threat, hand counters, and rush-to-contain discipline by game state.
- Model + film note: developmental contributor profile; produces pressure through get-off and counters.","- PFF grade 64.2 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,"Best early team fit: PHI. Expected early deployment: Rotational rush specialist in Sub-package designated rush lane. Early value comes from a true four-down profile that combines rush productivity with edge-setting discipline versus the run. Historical combine comp: Konrad Zagzebski (2015), athletic-profile match 96.2%.","LT Overton EDGE scouting report, traits, role fit, concerns, and NFL Draft projection.",
kaleb-proctor,Kaleb Proctor,"Kaleb Proctor (DT, Southeastern Louisiana) projects as a Round 4-5 talent with his cleanest NFL path coming as a early-down anchor with interior rush upside in One-gap attack interior rotation. The current model grade sits at 77.89, with the board currently slotting him at No. 141. developmental contributor profile; controls interior gaps and collapses pocket.","- Usage fit: Early-down anchor with interior rush upside within One-gap attack interior rotation.
- Film translation comes from disruption and block control: strike timing, gap integrity, and pocket compression on long downs.
- Model + film note: developmental contributor profile; controls interior gaps and collapses pocket.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,"Best early team fit: BUF. Expected early deployment: Early-down anchor with interior rush upside in One-gap attack interior rotation. Early value comes from early-down run control plus enough third-down pocket push to keep fronts multiple. Historical combine comp: Mike Daniels (2012), athletic-profile match 94.99%.","Kaleb Proctor DT scouting report, traits, role fit, concerns, and NFL Draft projection.",
tyreak-sapp,Tyreak Sapp,"Tyreak Sapp (EDGE, Florida) projects as a Round 4-5 talent with his cleanest NFL path coming as a rotational rush specialist in Sub-package designated rush lane. The current model grade sits at 78.09, with the board currently slotting him at No. 142. developmental contributor profile; produces pressure through get-off and counters.","- Usage fit: Rotational rush specialist within Sub-package designated rush lane.
- Film translation comes from rush sequencing: first-step threat, hand counters, and rush-to-contain discipline by game state.
- Model + film note: developmental contributor profile; produces pressure through get-off and counters.","- Total hurry volume (2.0) leaves less evidence of sustained rush disruption.
- PFF grade 64.9 suggests current performance volatility that needs film-confirmed cleanup.",,"Best early team fit: PHI. Expected early deployment: Rotational rush specialist in Sub-package designated rush lane. Early value comes from a true four-down profile that combines rush productivity with edge-setting discipline versus the run. Historical combine comp: Myron Tagovailoa-Amosa (2022), athletic-profile match 94.84%.","Tyreak Sapp EDGE scouting report, traits, role fit, concerns, and NFL Draft projection.",
skyler-gill-howard,Skyler Gill-Howard,"Skyler Gill-Howard (DT, Texas Tech Red Raiders) projects as a Round 4-5 talent with his cleanest NFL path coming as a early-down anchor with interior rush upside in One-gap attack interior rotation. The current model grade sits at 77.83, with the board currently slotting him at No. 143. developmental contributor profile; controls interior gaps and collapses pocket.","- Usage fit: Early-down anchor with interior rush upside within One-gap attack interior rotation.
- Film translation comes from disruption and block control: strike timing, gap integrity, and pocket compression on long downs.
- Model + film note: developmental contributor profile; controls interior gaps and collapses pocket.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,"Best early team fit: BUF. Expected early deployment: Early-down anchor with interior rush upside in One-gap attack interior rotation. Early value comes from early-down run control plus enough third-down pocket push to keep fronts multiple. Historical combine comp: Calijah Kancey (2023), athletic-profile match 93.99%.","Skyler Gill-Howard DT scouting report, traits, role fit, concerns, and NFL Draft projection.",
jc-davis,J.C. Davis,"J.C. Davis (OT, Illinois Fighting Illini) projects as a Round 4-5 talent with his cleanest NFL path coming as a power-side right tackle profile in Gap / duo front-side tackle fit. The current model grade sits at 77.77, with the board currently slotting him at No. 144. developmental contributor profile; has playable pass-pro mechanics with growth runway.","- Usage fit: Power-side right tackle profile within Gap / duo front-side tackle fit.
- Film translation comes from pass-pro consistency: set points, half-man leverage, and anchor recovery against speed-to-power.
- Model + film note: developmental contributor profile; has playable pass-pro mechanics with growth runway.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,"Best early team fit: LAR. Expected early deployment: Power-side right tackle profile in Gap / duo front-side tackle fit. Early value comes from stable pass sets versus wide alignments and enough run-game displacement without losing balance. Historical combine comp: Tyrus Thompson (2015), athletic-profile match 92.96%.","J.C. Davis OT scouting report, traits, role fit, concerns, and NFL Draft projection.",
kage-casey,Kage Casey,"Kage Casey (OT, Boise State) projects as a Round 4-5 talent with his cleanest NFL path coming as a starting tackle with pass-pro floor in Zone-power hybrid tackle menu. The current model grade sits at 77.77, with the board currently slotting him at No. 145. developmental contributor profile; has playable pass-pro mechanics with growth runway.","- Usage fit: Starting tackle with pass-pro floor within Zone-power hybrid tackle menu.
- Film translation comes from pass-pro consistency: set points, half-man leverage, and anchor recovery against speed-to-power.
- Model + film note: developmental contributor profile; has playable pass-pro mechanics with growth runway.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,"Best early team fit: LAR. Expected early deployment: Starting tackle with pass-pro floor in Zone-power hybrid tackle menu. Early value comes from stable pass sets versus wide alignments and enough run-game displacement without losing balance. Historical combine comp: DJ Young (2011), athletic-profile match 96.18%.","Kage Casey OT scouting report, traits, role fit, concerns, and NFL Draft projection.",
eric-rivers,Eric Rivers,"Eric Rivers (WR, Georgia Tech Yellow Jackets) projects as a Round 4-5 talent with his cleanest NFL path coming as a alignment-flexible target earner in Spread vertical / spacing menu. The current model grade sits at 77.67, with the board currently slotting him at No. 146. developmental contributor profile; creates separation and finishes at the catch point.","- Usage fit: Alignment-flexible target earner within Spread vertical / spacing menu.
- Film translation comes from route craft: release with a plan, manipulate leverage in stems, and separate at breakpoints with late hands.
- Receiver style lens: separation is driven by vertical speed stress.
- Model + film note: developmental contributor profile; creates separation and finishes at the catch point.","- Target-earning rate (16.9% share) suggests volume translation risk against NFL coverage.
- PFF grade 72.7 suggests current performance volatility that needs film-confirmed cleanup.",,"Best early team fit: CLE. Expected early deployment: Alignment-flexible target earner in Spread vertical / spacing menu. Early value comes from leverage-based separation, coverage-ID chemistry with the quarterback, and finish strength through contact. Historical combine comp: Jaylen Waddle (2021), athletic-profile match 94.28%.","Eric Rivers WR scouting report, traits, role fit, concerns, and NFL Draft projection.",
zxavian-harris,Zxavian Harris,"Zxavian Harris (DT, Mississippi Rebels) projects as a Round 4-5 talent with his cleanest NFL path coming as a early-down anchor with interior rush upside in One-gap attack interior rotation. The current model grade sits at 77.64, with the board currently slotting him at No. 147. developmental contributor profile; controls interior gaps and collapses pocket.","- Usage fit: Early-down anchor with interior rush upside within One-gap attack interior rotation.
- Film translation comes from disruption and block control: strike timing, gap integrity, and pocket compression on long downs.
- Model + film note: developmental contributor profile; controls interior gaps and collapses pocket.","- PFF grade 73.3 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,"Best early team fit: BUF. Expected early deployment: Early-down anchor with interior rush upside in One-gap attack interior rotation. Early value comes from early-down run control plus enough third-down pocket push to keep fronts multiple. Historical combine comp: Alfred Collins (2025), athletic-profile match 94.29%.","Zxavian Harris DT scouting report, traits, role fit, concerns, and NFL Draft projection.",
bryce-boettcher,Bryce Boettcher,"Bryce Boettcher (LB, Oregon) projects as a Round 4-5 talent with his cleanest NFL path coming as a space-match overhang backer in Big nickel overhang match. The current model grade sits at 77.88, with the board currently slotting him at No. 148. developmental contributor profile; processes quickly and closes efficiently.","- Usage fit: Space-match overhang backer within Big nickel overhang match.
- Film translation comes from read/trigger speed: sort run-pass keys early, fit cleanly, and carry routes with controlled angles.
- Model + film note: developmental contributor profile; processes quickly and closes efficiently.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,"Best early team fit: HOU. Expected early deployment: Space-match overhang backer in Big nickel overhang match. Early value comes from fit integrity, pursuit range, and route-distribution awareness in coverage. Historical combine comp: Clay Johnston (2020), athletic-profile match 97.85%.","Bryce Boettcher LB scouting report, traits, role fit, concerns, and NFL Draft projection.",
cole-payton,Cole Payton,"Cole Payton (QB, North Dakota State) projects as a Round 4-5 talent with his cleanest NFL path coming as a dynamic spread starter in Spread/RPO movement-launch attack. The current model grade sits at 78.04, with the board currently slotting him at No. 149. developmental contributor profile; wins with timing and structure while retaining off-script creation.","- Usage fit: Dynamic spread starter within Spread/RPO movement-launch attack.
- Film translation comes from timing/processing: ID leverage pre-snap, hold structure from the pocket, and create only when structure breaks.
- QB style lens: high-efficiency anticipation distributor; wins by seeing windows early and triggering on time from structure.
- Model + film note: developmental contributor profile; wins with timing and structure while retaining off-script creation.
- Scout-logged strength indicators: >.","- Scouting concern to verify: >.
- Missing ESPN QBR context increases uncertainty in down-to-down efficiency under pressure.
- Missing EPA/play context limits separation of explosive production versus sustainable drive efficiency.",,"Best early team fit: LV. Expected early deployment: Dynamic spread starter in Spread/RPO movement-launch attack. Early value comes from rhythm passing on early downs, controlled aggression on explosives, and situational command on third down or in two-minute. Historical combine comp: Joe Reed (2020), athletic-profile match 88.1%.","Cole Payton QB scouting report, traits, role fit, concerns, and NFL Draft projection.",
dezhaun-stribling,De'Zhaun Stribling,"De'Zhaun Stribling (WR, Mississippi) projects as a Round 4-5 talent with his cleanest NFL path coming as a alignment-flexible target earner in Spread vertical / spacing menu. The current model grade sits at 77.67, with the board currently slotting him at No. 150. developmental contributor profile; creates separation and finishes at the catch point.","- Usage fit: Alignment-flexible target earner within Spread vertical / spacing menu.
- Film translation comes from route craft: release with a plan, manipulate leverage in stems, and separate at breakpoints with late hands.
- Receiver style lens: separation is driven by vertical speed stress, route-volume earning.
- Model + film note: developmental contributor profile; creates separation and finishes at the catch point.","- Target-earning rate (13.1% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,"Best early team fit: CLE. Expected early deployment: Alignment-flexible target earner in Spread vertical / spacing menu. Early value comes from leverage-based separation, coverage-ID chemistry with the quarterback, and finish strength through contact. Historical combine comp: Toney Clemons (2012), athletic-profile match 96.66%.","De'Zhaun Stribling WR scouting report, traits, role fit, concerns, and NFL Draft projection.",
logan-jones,Logan Jones,"Logan Jones (IOL, Iowa) projects as a Round 4-5 talent with his cleanest NFL path coming as a starter with interior pocket-control value in Inside-zone / gap hybrid. The current model grade sits at 77.37, with the board currently slotting him at No. 151. developmental contributor profile; stabilizes interior pocket depth and run fits.","- Usage fit: Starter with interior pocket-control value within Inside-zone / gap hybrid.
- Film translation comes from interior control: hand placement, leverage, and communication to pass off stunts without leakage.
- Model + film note: developmental contributor profile; stabilizes interior pocket depth and run fits.","- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,"Best early team fit: DET. Expected early deployment: Starter with interior pocket-control value in Inside-zone / gap hybrid. Early value comes from interior pocket integrity, line-call chemistry, and efficient climb timing in zone and gap runs. Historical combine comp: Tyler Linderbaum (2022), athletic-profile match 91.82%.","Logan Jones IOL scouting report, traits, role fit, concerns, and NFL Draft projection.",
albert-regis,Albert Regis,"Albert Regis (DT, Texas A&M Aggies) projects as a Round 4-5 talent with his cleanest NFL path coming as a double-team absorbing anchor in Odd-front shade / early-down interior fit. The current model grade sits at 77.64, with the board currently slotting him at No. 152. developmental contributor profile; controls interior gaps and collapses pocket.","- Usage fit: Double-team absorbing anchor within Odd-front shade / early-down interior fit.
- Film translation comes from disruption and block control: strike timing, gap integrity, and pocket compression on long downs.
- Model + film note: developmental contributor profile; controls interior gaps and collapses pocket.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- PFF grade 72.8 suggests current performance volatility that needs film-confirmed cleanup.",,"Best early team fit: BUF. Expected early deployment: Double-team absorbing anchor in Odd-front shade / early-down interior fit. Early value comes from early-down run control plus enough third-down pocket push to keep fronts multiple. Historical combine comp: Mike Daniels (2012), athletic-profile match 93.13%.","Albert Regis DT scouting report, traits, role fit, concerns, and NFL Draft projection.",
armaj-reed-adams,Ar'maj Reed-Adams,"Ar'maj Reed-Adams (IOL, Texas A&M) projects as a Round 4-5 talent with his cleanest NFL path coming as a starter with interior pocket-control value in Inside-zone / gap hybrid. The current model grade sits at 77.47, with the board currently slotting him at No. 153. developmental contributor profile; stabilizes interior pocket depth and run fits.","- Usage fit: Starter with interior pocket-control value within Inside-zone / gap hybrid.
- Film translation comes from interior control: hand placement, leverage, and communication to pass off stunts without leakage.
- Model + film note: developmental contributor profile; stabilizes interior pocket depth and run fits.","- PFF grade 69.1 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,"Best early team fit: DET. Expected early deployment: Starter with interior pocket-control value in Inside-zone / gap hybrid. Early value comes from interior pocket integrity, line-call chemistry, and efficient climb timing in zone and gap runs. Historical combine comp: Ben Brown (2022), athletic-profile match 95.74%.","Ar'maj Reed-Adams IOL scouting report, traits, role fit, concerns, and NFL Draft projection.",
parker-brailsford,Parker Brailsford,"Parker Brailsford (IOL, Alabama) projects as a Round 4-5 talent with his cleanest NFL path coming as a starter with interior pocket-control value in Inside-zone / gap hybrid. The current model grade sits at 77.47, with the board currently slotting him at No. 154. developmental contributor profile; stabilizes interior pocket depth and run fits.","- Usage fit: Starter with interior pocket-control value within Inside-zone / gap hybrid.
- Film translation comes from interior control: hand placement, leverage, and communication to pass off stunts without leakage.
- Model + film note: developmental contributor profile; stabilizes interior pocket depth and run fits.","- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- PFF grade 65.6 suggests current performance volatility that needs film-confirmed cleanup.",,"Best early team fit: DET. Expected early deployment: Starter with interior pocket-control value in Inside-zone / gap hybrid. Early value comes from interior pocket integrity, line-call chemistry, and efficient climb timing in zone and gap runs. Historical combine comp: Adam Gettis (2012), athletic-profile match 89.05%.","Parker Brailsford IOL scouting report, traits, role fit, concerns, and NFL Draft projection.",
jager-burton,Jager Burton,"Jager Burton (IOL, Kentucky) projects as a Round 4-5 talent with his cleanest NFL path coming as a starter with interior pocket-control value in Inside-zone / gap hybrid. The current model grade sits at 77.47, with the board currently slotting him at No. 155. developmental contributor profile; stabilizes interior pocket depth and run fits.","- Usage fit: Starter with interior pocket-control value within Inside-zone / gap hybrid.
- Film translation comes from interior control: hand placement, leverage, and communication to pass off stunts without leakage.
- Model + film note: developmental contributor profile; stabilizes interior pocket depth and run fits.","- PFF grade 71.3 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,"Best early team fit: DET. Expected early deployment: Starter with interior pocket-control value in Inside-zone / gap hybrid. Early value comes from interior pocket integrity, line-call chemistry, and efficient climb timing in zone and gap runs. Historical combine comp: Tyler Biadasz (2020), athletic-profile match 96.13%.","Jager Burton IOL scouting report, traits, role fit, concerns, and NFL Draft projection.",
joe-royer,Joe Royer,"Joe Royer (TE, Cincinnati Bearcats) projects as a Round 4-5 talent with his cleanest NFL path coming as a y-tight end with chain-moving value in Play-action attach / boot complement. The current model grade sits at 77.43, with the board currently slotting him at No. 156. developmental contributor profile; projects as a mismatch in multiple alignments.","- Usage fit: Y-tight end with chain-moving value within Play-action attach / boot complement.
- Film translation comes from dual-phase utility: route detail vs coverage plus in-line toughness that keeps personnel groupings flexible.
- Receiver style lens: evaluate from snap to catch — release plan, break mechanics, edge attack, and contact-point finish — to separate true NFL translatability.
- Model + film note: developmental contributor profile; projects as a mismatch in multiple alignments.","- Target-earning rate (11.0% share) suggests volume translation risk against NFL coverage.
- PFF grade 59.8 suggests current performance volatility that needs film-confirmed cleanup.",,"Best early team fit: LAC. Expected early deployment: Y-tight end with chain-moving value in Play-action attach / boot complement. Early value comes from personnel flexibility, where the same player can stress seams and still survive attached to the formation. Historical combine comp: Durham Smythe (2018), athletic-profile match 90.01%.","Joe Royer TE scouting report, traits, role fit, concerns, and NFL Draft projection.",
dj-campbell,DJ Campbell,"DJ Campbell (IOL, Texas Longhorns) projects as a Round 4-5 talent with his cleanest NFL path coming as a starter with interior pocket-control value in Inside-zone / gap hybrid. The current model grade sits at 77.47, with the board currently slotting him at No. 157. developmental contributor profile; stabilizes interior pocket depth and run fits.","- Usage fit: Starter with interior pocket-control value within Inside-zone / gap hybrid.
- Film translation comes from interior control: hand placement, leverage, and communication to pass off stunts without leakage.
- Model + film note: developmental contributor profile; stabilizes interior pocket depth and run fits.","- PFF grade 70.9 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,"Best early team fit: DET. Expected early deployment: Starter with interior pocket-control value in Inside-zone / gap hybrid. Early value comes from interior pocket integrity, line-call chemistry, and efficient climb timing in zone and gap runs. Historical combine comp: Hugh Thornton (2013), athletic-profile match 93.31%.","DJ Campbell IOL scouting report, traits, role fit, concerns, and NFL Draft projection.",
cade-klubnik,Cade Klubnik,"Cade Klubnik (QB, Clemson) projects as a Round 4-5 talent with his cleanest NFL path coming as a developmental live-arm creator in Movement-passer package. The current model grade sits at 77.54, with the board currently slotting him at No. 158. developmental contributor profile; wins with timing and structure while retaining off-script creation.","- Usage fit: Developmental live-arm creator within Movement-passer package.
- Film translation comes from timing/processing: ID leverage pre-snap, hold structure from the pocket, and create only when structure breaks.
- QB style lens: high-efficiency anticipation distributor; wins by seeing windows early and triggering on time from structure.
- Model + film note: developmental contributor profile; wins with timing and structure while retaining off-script creation.","- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,"Best early team fit: LV. Expected early deployment: Developmental live-arm creator in Movement-passer package. Early value comes from rhythm passing on early downs, controlled aggression on explosives, and situational command on third down or in two-minute. Historical combine comp: Hutson Mason (2015), athletic-profile match 96.92%.","Cade Klubnik QB scouting report, traits, role fit, concerns, and NFL Draft projection.",
roman-hemby,Roman Hemby,"Roman Hemby (RB, Indiana) projects as a Round 4-5 talent with his cleanest NFL path coming as a primary committee back with passing-down utility in Wide-zone committee. The current model grade sits at 78.40, with the board currently slotting him at No. 159. developmental contributor profile; creates hidden yards and stays on schedule.","- Usage fit: Primary committee back with passing-down utility within Wide-zone committee.
- Film translation comes from vision plus contact balance: press tracks, force linebacker displacement, then accelerate through daylight.
- Model + film note: developmental contributor profile; creates hidden yards and stays on schedule.","- Lack of explosive-run creation (10.0% explosive rate) narrows home-run ceiling.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,"Best early team fit: DAL. Expected early deployment: Primary committee back with passing-down utility in Wide-zone committee. Early value comes from box-count recognition, efficient run tracks, and enough receiving utility to stay on the field in sub packages. Historical combine comp: Kory Sheets (2009), athletic-profile match 98.07%.","Roman Hemby RB scouting report, traits, role fit, concerns, and NFL Draft projection.",
