slug,player_name,position,school,current_generated_primary_concerns,current_public_primary_concerns_override,reviewed_primary_concerns,review_status,owner_notes
beau-stephens,Beau Stephens,IOL,Iowa Hawkeyes,"- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
cole-payton,Cole Payton,QB,North Dakota State,"- Scouting concern to verify: >.
- Missing ESPN QBR context increases uncertainty in down-to-down efficiency under pressure.
- Missing EPA/play context limits separation of explosive production versus sustainable drive efficiency.","- Scouting concern to verify: >.
- Missing ESPN QBR context increases uncertainty in down-to-down efficiency under pressure.
- Missing EPA/play context limits separation of explosive production versus sustainable drive efficiency.",,,
bryce-boettcher,Bryce Boettcher,LB,Oregon,"- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
jude-bowry,Jude Bowry,OT,Boston College Eagles,"- PFF grade 66.0 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- PFF grade 66.0 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
dezhaun-stribling,De'Zhaun Stribling,WR,Mississippi,"- Target-earning rate (13.1% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Target-earning rate (13.1% share) suggests volume translation risk against NFL coverage.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
albert-regis,Albert Regis,DT,Texas A&M Aggies,"- Interior mass profile is light for consistent NFL anchor control on early downs.
- PFF grade 72.8 suggests current performance volatility that needs film-confirmed cleanup.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- PFF grade 72.8 suggests current performance volatility that needs film-confirmed cleanup.",,,
parker-brailsford,Parker Brailsford,IOL,Alabama,"- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- PFF grade 65.6 suggests current performance volatility that needs film-confirmed cleanup.","- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- PFF grade 65.6 suggests current performance volatility that needs film-confirmed cleanup.",,,
joe-royer,Joe Royer,TE,Cincinnati Bearcats,"- Target-earning rate (11.0% share) suggests volume translation risk against NFL coverage.
- PFF grade 59.8 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (11.0% share) suggests volume translation risk against NFL coverage.
- PFF grade 59.8 suggests current performance volatility that needs film-confirmed cleanup.",,,
armaj-reed-adams,Ar'maj Reed-Adams,IOL,Texas A&M,"- PFF grade 69.1 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 69.1 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
cade-klubnik,Cade Klubnik,QB,Clemson,"- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.","- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,,
hezekiah-masses,Hezekiah Masses,CB,California Golden Bears,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
patrick-payton,Patrick Payton,EDGE,LSU,"- Total hurry volume (2.0) leaves less evidence of sustained rush disruption.
- PFF grade 69.0 suggests current performance volatility that needs film-confirmed cleanup.","- Total hurry volume (2.0) leaves less evidence of sustained rush disruption.
- PFF grade 69.0 suggests current performance volatility that needs film-confirmed cleanup.",,,
kamari-ramsey,Kamari Ramsey,S,USC Trojans,"- PFF grade 72.6 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- PFF grade 72.6 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
jalen-farmer,Jalen Farmer,IOL,Kentucky,"- PFF grade 69.8 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 69.8 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
lorenzo-styles-jr,Lorenzo Styles Jr.,S,Ohio State,"- PFF grade 66.0 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- PFF grade 66.0 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
logan-jones,Logan Jones,IOL,Iowa,"- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- Interior anchor mass is light versus NFL power fronts, creating pocket-depth stress risk.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
eric-mcalister,Eric McAlister,WR,TCU,"- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
louis-moore,Louis Moore,S,Indiana,"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
tanner-koziol,Tanner Koziol,TE,Houston,"- Route-level efficiency is light for top projection tiers (YPRR 1.72).
- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.","- Route-level efficiency is light for top projection tiers (YPRR 1.72).
- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.",,,
andre-fuller,Andre Fuller,CB,Toledo,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
domani-jackson,Domani Jackson,CB,Alabama,"- Ball-production rate (plays on ball/target 0.21) is below premium outside-CB bands.
- PFF grade 73.4 suggests current performance volatility that needs film-confirmed cleanup.","- Ball-production rate (plays on ball/target 0.21) is below premium outside-CB bands.
- PFF grade 73.4 suggests current performance volatility that needs film-confirmed cleanup.",,,
kendal-daniels,Kendal Daniels,LB,Oklahoma,"- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
jager-burton,Jager Burton,IOL,Kentucky,"- PFF grade 71.3 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 71.3 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
red-murdock,Red Murdock,LB,Buffalo,"- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
dallen-bentley,Dallen Bentley,TE,Utah,"- Target-earning rate (19.2% share) suggests volume translation risk against NFL coverage.
- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.","- Target-earning rate (19.2% share) suggests volume translation risk against NFL coverage.
- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.",,,
oscar-delp,Oscar Delp,TE,Georgia Bulldogs,"- Target-earning rate (7.5% share) suggests volume translation risk against NFL coverage.
- PFF grade 62.9 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (7.5% share) suggests volume translation risk against NFL coverage.
- PFF grade 62.9 suggests current performance volatility that needs film-confirmed cleanup.",,,
dj-campbell,DJ Campbell,IOL,Texas Longhorns,"- PFF grade 70.9 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 70.9 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
max-llewellyn,Max Llewellyn,EDGE,Iowa,"- Burst/explosion profile is below ideal EDGE threshold, which can limit first-step stress.
- PFF grade 72.3 suggests current performance volatility that needs film-confirmed cleanup.","- Burst/explosion profile is below ideal EDGE threshold, which can limit first-step stress.
- PFF grade 72.3 suggests current performance volatility that needs film-confirmed cleanup.",,,
dametrious-crownover,Dametrious Crownover,OT,Texas A&M,"- PFF grade 65.2 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- PFF grade 65.2 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
caden-curry,Caden Curry,EDGE,Ohio State,"- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
j-michael-sturdivant,J. Michael Sturdivant,WR,Florida Gators,"- PFF grade 62.0 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- PFF grade 62.0 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
kendrick-law,Kendrick Law,WR,Kentucky,"- PFF grade 71.6 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- PFF grade 71.6 suggests current performance volatility that needs film-confirmed cleanup.
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
ephesians-prysock,Ephesians Prysock,CB,Washington,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
jaeden-roberts,Jaeden Roberts,IOL,Alabama,"- PFF grade 69.5 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 69.5 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
george-gumbs-jr,George Gumbs Jr.,EDGE,Florida Gators,"- PFF grade 66.5 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- PFF grade 66.5 suggests current performance volatility that needs film-confirmed cleanup.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
roman-hemby,Roman Hemby,RB,Indiana,"- Lack of explosive-run creation (10.0% explosive rate) narrows home-run ceiling.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Lack of explosive-run creation (10.0% explosive rate) narrows home-run ceiling.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
eli-heidenreich,Eli Heidenreich,RB,Navy,"- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
daequan-wright,Dae'Quan Wright,TE,Mississippi Rebels,"- Target-earning rate (10.4% share) suggests volume translation risk against NFL coverage.
- PFF grade 65.7 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (10.4% share) suggests volume translation risk against NFL coverage.
- PFF grade 65.7 suggests current performance volatility that needs film-confirmed cleanup.",,,
markel-bell,Markel Bell,OT,Miami (FL),"- PFF grade 72.1 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- PFF grade 72.1 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
xavier-nwankpa,Xavier Nwankpa,S,Iowa,"- PFF grade 71.0 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- PFF grade 71.0 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
karson-sharar,Karson Sharar,LB,Iowa,"- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
wade-woodaz,Wade Woodaz,LB,Clemson,"- PFF grade 70.8 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- PFF grade 70.8 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
josh-cuevas,Josh Cuevas,TE,Alabama Crimson Tide,"- Route-level efficiency is light for top projection tiers (YPRR 1.90).
- Target-earning rate (11.8% share) suggests volume translation risk against NFL coverage.
- Change-of-direction profile is below ideal separator threshold, raising route-precision volatility.
- PFF grade 69.6 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.90).
- Target-earning rate (11.8% share) suggests volume translation risk against NFL coverage.
- Change-of-direction profile is below ideal separator threshold, raising route-precision volatility.
- PFF grade 69.6 suggests current performance volatility that needs film-confirmed cleanup.",,,
nadame-tucker,Nadame Tucker,EDGE,Western Michigan,"- Total hurry volume (16.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.","- Total hurry volume (16.0) leaves less evidence of sustained rush disruption.
- Rush plan depth has to expand beyond first move so pressure translates into consistent finish rate.
- Run-game edge setting must stay disciplined to avoid being reduced to a package-only role.",,,
bishop-fitzgerald,Bishop Fitzgerald,S,USC Trojans,"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
bobby-jamison-travis,Bobby Jamison-Travis,DT,Auburn,"- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
kevin-coleman-jr,Kevin Coleman Jr.,WR,Missouri,"- Route-level efficiency is light for top projection tiers (YPRR 1.90).
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.","- Route-level efficiency is light for top projection tiers (YPRR 1.90).
- Release plan versus press corners has to hold up when defenders force timing disruption at the line.
- Route pacing and stem detail must stay efficient versus complex leverage rotations and trap coverages.",,,
jeff-caldwell,Jeff Caldwell,WR,Cincinnati,"- Target-earning rate (16.3% share) suggests volume translation risk against NFL coverage.
- PFF grade 70.0 suggests current performance volatility that needs film-confirmed cleanup.","- Target-earning rate (16.3% share) suggests volume translation risk against NFL coverage.
- PFF grade 70.0 suggests current performance volatility that needs film-confirmed cleanup.",,,
jakobe-thomas,Jakobe Thomas,S,Miami (FL),"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
deshon-singleton,DeShon Singleton,S,Nebraska,"- PFF grade 72.2 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- PFF grade 72.2 suggests current performance volatility that needs film-confirmed cleanup.
- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
joey-aguilar,Joey Aguilar,QB,Tennessee,"- Missing ESPN QBR context increases uncertainty in down-to-down efficiency under pressure.
- Missing EPA/play context limits separation of explosive production versus sustainable drive efficiency.","- Missing ESPN QBR context increases uncertainty in down-to-down efficiency under pressure.
- Missing EPA/play context limits separation of explosive production versus sustainable drive efficiency.",,,
keagen-trost,Keagen Trost,OT,Missouri,"- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
jadon-canady,Jadon Canady,CB,Oregon Ducks,"- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
max-bredeson,Max Bredeson,TE,Michigan,"- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.","- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.",,,
marlin-klein,Marlin Klein,TE,Michigan Wolverines,"- Route-level efficiency is light for top projection tiers (YPRR 1.79).
- Target-earning rate (13.6% share) suggests volume translation risk against NFL coverage.
- Change-of-direction profile is below ideal separator threshold, raising route-precision volatility.
- PFF grade 64.3 suggests current performance volatility that needs film-confirmed cleanup.","- Route-level efficiency is light for top projection tiers (YPRR 1.79).
- Target-earning rate (13.6% share) suggests volume translation risk against NFL coverage.
- Change-of-direction profile is below ideal separator threshold, raising route-precision volatility.
- PFF grade 64.3 suggests current performance volatility that needs film-confirmed cleanup.",,,
taylen-green,Taylen Green,QB,Arkansas Razorbacks,"- Turnover risk needs cleanup (11 INT) before high-leverage starter projection is stable.
- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.","- Turnover risk needs cleanup (11 INT) before high-leverage starter projection is stable.
- Pocket disruption response must stay on schedule; drifting off platform creates NFL turnover windows.
- Third-down decision speed versus disguised coverage is the key separator between starter and backup outcomes.",,,
toriano-pride-jr,Toriano Pride Jr.,CB,Missouri,"- PFF grade 74.4 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- PFF grade 74.4 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
collin-wright,Collin Wright,CB,Stanford,"- PFF grade 74.9 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.","- PFF grade 74.9 suggests current performance volatility that needs film-confirmed cleanup.
- Eye discipline through route breaks must tighten to limit transition losses against pro route pacing.
- Tackle finish and block deconstruction must hold so offenses cannot isolate him in run support.",,,
lander-barton,Lander Barton,LB,Utah Utes,"- PFF grade 61.6 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- PFF grade 61.6 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
john-michael-gyllenborg,John Michael Gyllenborg,TE,Wyoming Cowboys,"- PFF grade 54.1 suggests current performance volatility that needs film-confirmed cleanup.
- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.","- PFF grade 54.1 suggests current performance volatility that needs film-confirmed cleanup.
- Blocking strain has to stay consistent so personnel usage is not telegraphed by down/distance.
- Separation profile versus man coverage must improve enough to avoid becoming only a schematic target.",,,
jimmy-rolder,Jimmy Rolder,LB,Michigan,"- PFF grade 72.2 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- PFF grade 72.2 suggests current performance volatility that needs film-confirmed cleanup.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
desmond-reid,Desmond Reid,RB,Pittsburgh Panthers,"- Lack of explosive-run creation (8.2% explosive rate) narrows home-run ceiling.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.","- Lack of explosive-run creation (8.2% explosive rate) narrows home-run ceiling.
- Early-down production must be paired with dependable pass-protection reps to hold three-down value.
- Contact balance has to translate against tighter NFL pursuit angles, not just open-lane college looks.",,,
owen-heinecke,Owen Heinecke,LB,Oklahoma,"- Play-strength profile can limit block deconstruction consistency at NFL second level.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.","- Play-strength profile can limit block deconstruction consistency at NFL second level.
- Coverage spacing discipline versus route combinations must be clean to avoid explosive seams.
- Processing speed has to stay stable when offenses stress eye candy and tempo.",,,
dalton-johnson,Dalton Johnson,S,Arizona,"- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.","- Communication and rotation timing must stay precise to avoid coverage busts in split-field structures.
- Open-field tackling angles must remain controlled against NFL speed and spacing stress.",,,
tyler-onyedim,Tyler Onyedim,DT,Texas A&M,"- Interior mass profile is light for consistent NFL anchor control on early downs.
- PFF grade 71.9 suggests current performance volatility that needs film-confirmed cleanup.","- Interior mass profile is light for consistent NFL anchor control on early downs.
- PFF grade 71.9 suggests current performance volatility that needs film-confirmed cleanup.",,,
haynes-king,Haynes King,QB,Georgia Tech,"- Missing ESPN QBR context increases uncertainty in down-to-down efficiency under pressure.
- Missing EPA/play context limits separation of explosive production versus sustainable drive efficiency.","- Missing ESPN QBR context increases uncertainty in down-to-down efficiency under pressure.
- Missing EPA/play context limits separation of explosive production versus sustainable drive efficiency.",,,
enrique-cruz-jr,Enrique Cruz Jr.,OT,Kansas,"- PFF grade 70.3 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.","- PFF grade 70.3 suggests current performance volatility that needs film-confirmed cleanup.
- Hand timing and recovery mechanics must stay clean when rushers chain counters on long downs.
- Anchor consistency versus NFL power fronts is the primary pass-game floor variable.",,,
matt-gulbin,Matt Gulbin,IOL,Michigan State,"- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
damonic-williams,Damonic Williams,DT,Oklahoma,"- PFF grade 56.1 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.","- PFF grade 56.1 suggests current performance volatility that needs film-confirmed cleanup.
- Pad-level consistency is required to convert flashes into down-to-down run-defense value.
- Pass-rush impact must hold beyond first contact when NFL guards reset and anchor late.",,,
alex-harkey,Alex Harkey,IOL,Oregon,"- PFF grade 65.0 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.","- PFF grade 65.0 suggests current performance volatility that needs film-confirmed cleanup.
- Interior communication versus games/stunts must be consistent to protect pocket depth for the QB.
- Leverage and hand placement must hold late in reps against stronger NFL interior rushers.",,,
